kode_prodi,nama_prodi,daya_tampung_2019,jumlah_peminat_2018,jumlah_peminat_2017,jumlah_peminat_2016,daya_tampung_2018,daya_tampung_2017,daya_tampung_2016,sma_ipa_2018,sma_ipa_2017,sma_ipa_2016,ma_ipa_2018,ma_ipa_2017,ma_ipa_2016,sma_ips_2018,sma_ips_2017,sma_ips_2016,ma_ips_2018,ma_ips_2017,ma_ips_2016,smk_ipa_2018,smk_ipa_2017,smk_ipa_2016,smk_ips_2018,smk_ips_2017,smk_ips_2016,smk_agama_2018,smk_agama_2017,smk_agama_2016,aceh_2018,aceh_2017,aceh_2016,sumatera_utara_2018,sumatera_utara_2017,sumatera_utara_2016,riau_2018,riau_2017,riau_2016,bengkulu_2018,bengkulu_2017,bengkulu_2016,kalimantan_barat_2018,kalimantan_barat_2017,kalimantan_barat_2016
3512142,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,27,842,752,694,26,25,20,173,163,161,54,50,24,300,260,264,84,97,77,74,58,45,92,73,59,4,3,3,,,,3,1,,2,,2,,,,1,,1
3511034,MATEMATIKA,41,696,743,557,37,36,29,526,557,421,78,70,51,8,10,8,,3,2,59,72,52,9,13,13,2,3,2,,,1,2,2,5,,4,,1,,1,,,
3511011,BIOLOGI,79,990,1126,897,82,75,60,807,916,734,129,160,116,,,,,,,39,39,36,1,3,2,1,1,,,,1,5,14,2,2,5,3,,,2,1,1,1
3362305,ILMU POLITIK,41, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511081,TEKNIK ELEKTRO,55,946,982,841,50,45,34,561,581,452,44,46,31,5,6,12,3,2,4,284,311,295,6,8,12,6,2,4,,1,,3,3,11,3,2,2,,2,,2,1,1
3511065,BUDIDAYA PERAIRAN,31,532,581,690,26,25,32,412,420,493,53,77,65,5,11,14,1,2,6,53,53,92,1,2,2,,1,,,1,1,14,12,18,3,,,2,,,,2,
3362093,PSIKOLOGI,78,1572,1216,935,87,64,64,532,370,318,201,151,98,427,321,222,182,135,98,83,71,81,45,58,31,3,4,1,1,5,1,3,6,7,3,5,3,8,1,,3,4,1
3362085,BAHASA DAN SASTRA  INGGRIS,108,1086,892,642,91,112,48,308,255,194,140,120,83,269,175,116,119,99,88,93,88,49,56,48,42,6,4,1,2,5,,3,7,1,4,3,1,3,2,,3,1,3
3511026,KIMIA,40,529,515,384,36,36,29,431,423,293,64,54,58,1,,1,,,,32,33,26,,1,1,,,,,1,,6,4,3,1,2,1,,,,,,
3362046,MANAJEMEN,83,2323,1840,1740,93,96,96,582,448,385,193,154,109,731,535,572,317,280,237,138,119,121,201,171,206,24,10,4,5,8,2,11,18,14,10,9,2,6,1,4,4,1,
